ID,会社名,所在地,TEL,営業時間,定休日,免許,HP,備考_駐車場,貼貸_住居用,貼貸_事業用,貼貸_土地,貼貸_駐車場,売買_土地,売買_一戸建て,売買_マンション,売買_その他,URL
5050,沖縄大地,沖縄県南風原町与那覇 146-1,098-888-0002,09:00〜18:00,日曜日、お盆、GW、年末年始,沖縄県知事免許(10)第1847号,当社ホームページはこちら,駐車場/あり 4台,1,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5050
5054,(株)沖創建設　那覇本店,沖縄県那覇市銘苅 180-7,098-866-1007,09:30〜17:00,土曜日・日曜日･GW･年末年始･祝日,沖縄県知事免許(3)第4224号,当社ホームページはこちら,駐車場/なし,13,1,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5054
5055,(株)日宅,沖縄県那覇市おもろまち 4-20-31 サワダビル1F,098-988-9231,10:00〜18:30,日曜日・祝日,沖縄県知事免許(8)第2726号,当社ホームページはこちら,店舗前に4台ございます。駐車場/あり 4台,11,8,1,0,17,2,3,6,https://www.e-uchina.net/fudosan_kaisha/5055
5056,大真不動産,沖縄県沖縄市宮里 4-2-10,098-939-6081,月-金 09:00〜18:30土 09:30〜17:00,日・祝祭日,沖縄県知事免許(8)第2651号,当社ホームページはこちら,軍用地売買・米賃駐車場/あり 1台,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5056
5057,(株)丸山不動産,沖縄県名護市大北 1-23-2,0980-54-3054,09:00〜17:00,日・祝祭日　年末年始　ゴールデンウィーク　お盆,沖縄県知事免許(3)第4498号,当社ホームページはこちら,当社は、沖縄県名護市を中心として、アパート、マンション、店舗等の賃貸仲介・管理、土地・建物の売買仲介・買取などを主な業務内容とする会社です。「貸したい」「借りたい」「売りたい」「買いたい」等、ご希望の方は、不動産に関する質問は何でもお気軽にご相談ください。豊富な情報力でお客様のご希望に併せたスピーディーな対応を心掛けております。ぜひ、当社へご相談ください。駐車場/あり 5台,3,2,0,6,4,1,0,1,https://www.e-uchina.net/fudosan_kaisha/5057
5058,(有)翔南,沖縄県那覇市首里儀保町 3-9-1,098-887-0334,09:00〜18:00,日曜日・祝祭日,沖縄県知事免許(10)第1432号,当社ホームページはこちら,駐車場/あり 1台,0,1,0,0,5,1,1,2,https://www.e-uchina.net/fudosan_kaisha/5058
5060,(有)とみながコーポレーション,沖縄県那覇市首里汀良町 2-21,098-885-6118,09:00〜18:00第２、４、５土曜日 09:00〜18:00,第1、3土曜日・日曜日・祝祭日,沖縄県知事免許(6)第3295号,当社ホームページはこちら,お客様駐車場有り（駐車位置：７番）。環状２号線を儀保駅方面から首里中方面に約600ｍ上がって来ますと弊社事務所が在ります。弊社事務所２０ｍ手前の路地に入っていただき約３０ｍ進むと右側に駐車場あり。駐車場/あり 1台,3,4,0,1,2,0,2,0,https://www.e-uchina.net/fudosan_kaisha/5060
5061,オズ不動産,沖縄県浦添市大平 2-7-17,098-927-2794,09:00〜18:00,日祝祭日,沖縄県知事免許(2)第2310号,当社ホームページはこちら,,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5061
5062,上間不動産,沖縄県北谷町北谷 2-19-4 1F,098-936-7500,10:00〜18:00 12：00-13：00お昼休み有り,日・祝祭日,沖縄県知事免許(10)第1785号,当社ホームページはこちら,駐車場/あり 8台,16,3,2,4,6,0,0,3,https://www.e-uchina.net/fudosan_kaisha/5062
5063,(有)たけちゃんほーむ,沖縄県那覇市田原 4-2-6 1-C,098-859-0833,月・火・木・金曜 09:30〜17:30水・土曜 10:00〜17:00,日曜日・祝日,沖縄県知事免許(6)第3365号,当社ホームページはこちら,駐車場/あり 3台,6,0,0,0,2,0,1,0,https://www.e-uchina.net/fudosan_kaisha/5063
5064,株式会社　H&Aトラスト,沖縄県名護市伊差川 473,070-3803-0075,09:00〜18:00,不定休,沖縄県知事免許 ( 2 ) 第4935 号,当社ホームページはこちら,駐車場/あり,0,2,1,0,5,3,1,1,https://www.e-uchina.net/fudosan_kaisha/5064
5065,有限会社すまいの大進,沖縄県那覇市国場 1168-5,098-832-1144,10:00〜17:30,水・日・祝日,沖縄県知事免許(8)第2676号,当社ホームページはこちら,売買物件は832-1133へお問い合わせ下さい。駐車場/あり 7台,29,2,0,0,16,5,9,8,https://www.e-uchina.net/fudosan_kaisha/5065
5066,(有)ビッグ開発 中部支店,沖縄県沖縄市比屋根 2-2-7,098-983-9600,09:30〜17:30,日曜日・年末年始,沖縄県知事免許(7)第2986号,当社ホームページはこちら,駐車場/あり 5台,22,7,1,1,44,13,2,17,https://www.e-uchina.net/fudosan_kaisha/5066
5069,(有)大和住宅産業,沖縄県浦添市安波茶 1-31-2,098-876-1232,09:00〜18:00,日曜日,沖縄県知事免許(4)第3308号,当社ホームページはこちら,駐車場/あり,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5069
5070,株式会社　大盛不動産,沖縄県南風原町津嘉山 1498,098-889-6677,10:00〜19:00,日曜日,沖縄県知事免許(1)第5511号,当社ホームページはこちら,駐車場/あり 1台,2,1,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5070
5072,株式会社南新物産 南風原本店,沖縄県南風原町宮平 641-7,098-889-4007,月～土 09:00〜18:00,年末年始・日曜日・祝祭日・旧盆（ウークイの日）,沖縄県知事免許(2)第4669号,当社ホームページはこちら,日曜日・祝祭日は定休日となります。宜しくお願い致します。駐車場/あり 4台,0,0,0,0,15,1,0,0,https://www.e-uchina.net/fudosan_kaisha/5072
5073,株式会社南新物産 豊見城支店,沖縄県豊見城市名嘉地 250,098-850-4007,月～土 09:00〜18:00,日曜日・祝日・年末年始・旧盆（ウークイのみ）,沖縄県知事免許(2)第4669号,当社ホームページはこちら,駐車場/あり,0,0,0,0,3,1,0,3,https://www.e-uchina.net/fudosan_kaisha/5073
5074,株式会社 南新物産 那覇新都心店,沖縄県那覇市安謝 2-1-3,098-861-4007,月ー土 09:00〜18:00,日曜・祝祭日／旧盆（うーくい）／年末年始,沖縄県知事免許(2)第4669号,当社ホームページはこちら,駐車場/あり 5台,10,7,0,0,4,0,0,8,https://www.e-uchina.net/fudosan_kaisha/5074
5075,(株)共和ホーム,沖縄県豊見城市我那覇 501-1 共和ビル２階,098-954-3585,10:00〜18:00,日曜・祝祭日・年末年始・旧盆など,沖縄県知事免許(6)第3149号,当社ホームページはこちら,※上記、電話番号は売買専用ダイヤルとなります。駐車場/あり 8台,0,0,0,0,8,1,0,1,https://www.e-uchina.net/fudosan_kaisha/5075
5076,(株)あすなろ観光開発,沖縄県沖縄市安慶田 4-2-12,098-930-3333,09:00〜18:00,土･日･祝祭日,沖縄県知事免許(2)第4497号,当社ホームページはこちら,,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5076
5078,(株)高田産業,沖縄県那覇市おもろまち 4-10-18 タカダ新都心マンション 201,098-868-1808,08:30〜17:30,日曜・祝日,沖縄県知事免許(12)第0796号,当社ホームページはこちら,駐車場/なし,5,19,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5078
5079,(株)琉信ハウジング 浦添支店,沖縄県浦添市経塚 745-7 医療モール3階,098-877-1000,月ー金 09:00〜17:00,土曜日・日曜日・祝祭日,沖縄県知事免許(9)第2106号,当社ホームページはこちら,駐車場/あり,0,0,0,1,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5079
5080,(株)第一地所,沖縄県那覇市泉崎 1-5-5 1F,098-867-1701,月-金 09:30〜17:00,土曜日・日曜日／祝祭日,沖縄県知事免許(2)第4526号,当社ホームページはこちら,daiichichisyo@outlook.jp駐車場/なし,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5080
5083,株式会社ジョイントハウス,沖縄県那覇市久茂地 1-4-1 くもいちビル1F,098-868-9393,月-金 09:00〜17:30,土曜・日曜・祝祭日,沖縄県知事免許(9)第2272号,当社ホームページはこちら,駐車場/なし,1,12,0,2,1,0,0,1,https://www.e-uchina.net/fudosan_kaisha/5083
5084,株式会社　プラン沖縄,沖縄県与那原町板良敷 854-6,098-882-0906,08:00〜17:30,土・日・祝祭日・年末年始,沖縄県知事免許(6)第3180号,当社ホームページはこちら,駐車場/あり 6台,1,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5084
5085,LIXIL不動産ショップ(株)大央ハウジング,沖縄県那覇市泊 2-16-1,098-866-8281,09:00〜17:00,土曜・日曜・祝祭日・G.W・年末年始・旧盆,沖縄県知事免許(8)第2427号,当社ホームページはこちら,駐車場/あり,49,32,0,15,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5085
5087,(有)ダイデンハウス,沖縄県那覇市松尾 1-7-17,098-963-9558,09:00〜18:00,日曜日・GW・年末年始,沖縄県知事免許(4)第3727号,当社ホームページはこちら,駐車場/なし,1,0,0,2,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5087
5088,(有)タイムリー,沖縄県那覇市長田 1-12-36,098-854-5557,09:00〜17:00,土曜　日曜　祝祭日,沖縄県知事免許(6)第3292号,当社ホームページはこちら,駐車場/あり 3台,0,0,0,0,2,0,0,1,https://www.e-uchina.net/fudosan_kaisha/5088
5090,(有)丸彦ハウジング,沖縄県那覇市国場 1186-4,098-855-0101,月ー金 09:00〜18:00土 09:00〜15:00,日曜・祝日・年末年始12月30日～1月3日まで休業日　※土曜日は9時～15時営業,沖縄県知事免許(9)第2244号,当社ホームページはこちら,駐車場/あり 1台,56,2,0,3,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5090
5092,(有)トモ住建,沖縄県那覇市前島 2-14-23 1F,098-866-6723,09:30〜18:3018:00〜,日曜・祝祭日・年末年始,沖縄県知事免許(8)第2699号,当社ホームページはこちら,駐車場/あり 1台,6,31,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5092
5093,有限会社 住宅情報社,沖縄県那覇市松尾 2-2-29,098-867-8333,09:30〜18:30,日・祝日,沖縄県知事免許(7)第2943号,当社ホームページはこちら,駐車場完備 　メールアドレス j-joho@room.ocn.ne.jp,1,0,0,3,0,1,0,0,https://www.e-uchina.net/fudosan_kaisha/5093
5095,(株)オクト管理,沖縄県那覇市松山 2-12-16 モアハウス　1F,098-869-0910,月ー金 09:00〜18:00土 09:00〜17:00,日・祝祭日　年末年始,沖縄県知事免許(3)第4429号,当社ホームページはこちら,駐車場/なし,3,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5095
5097,株式会社アートアベニュー,沖縄県宮古島市平良字西里 7 ホテルアートアベニュー7階,03-5339-0551,10:00〜17:30,日曜日,東京都知事（6）第74420号,当社ホームページはこちら,,1,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5097
5098,未来開発,沖縄県那覇市古島 1-20-10 泉荘102,098-887-6669,10:00〜19:00,日曜日(但し年末年始は休み),沖縄県知事免許(6)第3289号,当社ホームページはこちら,メールでの問い合わせは→miraikaihatu.2020@chic.ocn.ne.jp駐車場/あり 1台,1,2,0,1,1,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5098
5100,和興住宅,沖縄県那覇市宇栄原 950 101,098-857-7220,09:30〜18:00,土曜日・日曜日・祝祭日,沖縄県知事免許(8)第2698号,当社ホームページはこちら,,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5100
5106,はごろも住宅,沖縄県宜野湾市真志喜 2-14-18 102,098-890-3355,09:00〜18:00,日・祝日・年末年始,沖縄県知事免許(5)第3323号,当社ホームページはこちら,,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5106
5108,(株)マルユウハウジー,沖縄県浦添市城間 3-3-10 トーマスビル　1階,098-917-2933,10:00〜18:00,日曜日・祝日・GW・旧盆・年末年始,沖縄県知事免許(3)第4328号,当社ホームページはこちら,駐車場/あり 4台,0,5,0,0,4,1,1,0,https://www.e-uchina.net/fudosan_kaisha/5108
5111,新報不動産,沖縄県浦添市仲西 3-8-16,098-878-5521,平日 09:00〜18:30土 09:00〜18:00,日祝祭日,沖縄県知事免許(1)第5508号,当社ホームページはこちら,駐車場は店舗前になります。複数台駐車の場合は事前にお電話ください。駐車場/あり 1台,0,0,0,1,3,1,0,1,https://www.e-uchina.net/fudosan_kaisha/5111
5115,(株)エステートSun,沖縄県浦添市大平 1-34-6 102,098-875-2353,09:00〜18:00,"日曜日,祝日",沖縄県知事免許(2)第4836号,当社ホームページはこちら,駐車場/あり 2台,0,0,0,0,3,3,0,0,https://www.e-uchina.net/fudosan_kaisha/5115
5117,株式会社東洋ハウジング,沖縄県豊見城市根差部 587,098-850-4722,月ー金 09:00〜17:00土 日 祝日 10:00〜17:00,年中無休(正月、GW、旧盆は除く),沖縄県知事免許(7)第2847号,当社ホームページはこちら,駐車場/あり,0,0,0,1,60,12,1,4,https://www.e-uchina.net/fudosan_kaisha/5117
5118,たちばなハウジング,沖縄県沖縄市泡瀬 1-23-28 井口アパート(2-B),098-937-6586,10:30〜17:00,日･祝祭日,沖縄県知事免許(3)第4485号,当社ホームページはこちら,駐車場/なし,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5118
5120,(有)TOM住宅,沖縄県宜野湾市真栄原 1-2-5,098-898-1008,月・火・木・金・土 09:00〜18:00,水曜日、日曜日、祝日,沖縄県知事免許(８)第2779号,当社ホームページはこちら,駐車場/あり 2台,4,1,0,12,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5120
5121,(有)日本不動産,沖縄県宜野湾市新城 2-38-10,098-893-1748,月金 09:00〜18:00土曜日 09:00〜17:00,日曜日,沖縄県知事免許(4)第3700号,当社ホームページはこちら,駐車場/あり,10,1,0,0,2,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5121
5122,シートピア商事,沖縄県宜野湾市大謝名 1-3-6,098-897-6666,09:00〜18:00,日、祝日,沖縄県知事免許(1)第5936号,当社ホームページはこちら,店舗裏に駐車場あります。駐車場/あり 2台,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5122
5123,真志喜不動産,沖縄県宜野湾市真志喜 1-7-1,098-897-2347,月-金 10:00〜18:00,日曜日,沖縄県知事免許番号(13)第0493号,当社ホームページはこちら,,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5123
5124,(有)キャンパス住宅,沖縄県中城村南上原 752-2,098-895-1777,平日 09:00〜18:30土曜 09:00〜17:30 水・日曜・祝日 ： 9：00～17：00,水･日･祝祭日,沖縄県知事免許(5)第3603号,当社ホームページはこちら,駐車場/あり 3台,4,0,2,4,14,0,0,1,https://www.e-uchina.net/fudosan_kaisha/5124
5125,(有)ぺーちんハウス,沖縄県沖縄市登川 2399-1,098-929-2023,09:30〜18:00,土・日曜・祝祭日,沖縄県知事免許(６)第3319号,当社ホームページはこちら,駐車場/あり 1台,0,0,0,1,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5125
5127,(有)アシストホーム,沖縄県北谷町桑江 596-12,098-936-4417,09:00〜18:00土曜日 09:00〜17:00,日祝祭日,沖縄県知事免許(5)第3377号,当社ホームページはこちら,,4,0,0,0,0,1,0,4,https://www.e-uchina.net/fudosan_kaisha/5127
5128,(有)東海不動産,沖縄県沖縄市高原 5-19-1,098-938-1788,月曜日〜金曜日 09:00〜18:00土曜日 09:00〜16:00,日・祝祭日・ゴールデンウィーク・年末年始,沖縄県知事免許(８)第2821号,当社ホームページはこちら,駐車場は店舗前と店舗右側にございます。駐車場/あり 4台,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5128
5130,(有)シティライフ,沖縄県沖縄市上地 2-20-5,098-930-0637,09:00〜18:00,日・祝祭日,沖縄県知事免許(7)第3038号,当社ホームページはこちら,駐車場/あり 1台,3,3,0,1,0,1,0,0,https://www.e-uchina.net/fudosan_kaisha/5130
5132,アップルホーム,沖縄県沖縄市住吉 1-1-4,098-939-9070,月-金 09:00〜18:00土 09:00〜12:00,日曜日･祝祭日,沖縄県知事免許(5)第3425号,当社ホームページはこちら,駐車場/あり,0,1,0,0,2,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5132
5135,(株)ハウスセンター,沖縄県那覇市首里石嶺町 1-145-10,098-885-8589,営業日 09:00〜18:00,土曜日・日曜日・祝祭日,沖縄県知事免許(3)第4413号,当社ホームページはこちら,駐車場/あり 1台,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5135
5136,(株)マルクニ,沖縄県那覇市若狭 2-13-3,098-868-2625,平日 09:00〜17:00,土・日・祝祭日　年末年始,沖縄県知事免許（4）第3975号,当社ホームページはこちら,若狭小学校・若狭図書館近く,2,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5136
5138,(株)不動企画,沖縄県那覇市寄宮 2-38-29,098-836-2292,09:00〜18:00,日曜日・祝祭日,沖縄県知事免許(3)第4143号,当社ホームページはこちら,駐車場/あり 6台,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5138
5141,株式会社 開邦不動産,沖縄県沖縄市山内 2-15-5,098-932-5075,09:00〜18:00,日・祝祭日、水曜日（月～土に祝祭日がある場合、営業致します）,沖縄県知事免許(1)第5480号,当社ホームページはこちら,建物裏手にループ様との共用駐車場があります。駐車場/あり 10台,1,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5141
5143,(有)喜納住宅開発,沖縄県那覇市安里 2-6-24 リファイン安里1F,098-866-3224,09:00〜18:00,日曜・祝祭日,沖縄県知事免許(8)第2072号,当社ホームページはこちら,駐車場/なし,10,0,0,1,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5143
5144,(株)松山産業,沖縄県那覇市前島 3-11-1 ホテルリゾネックス那覇1階,098-868-1875,09:00〜18:00,年中無休,沖縄県知事免許(5)第3506号,当社ホームページはこちら,駐車場/あり,1,0,0,0,0,1,0,1,https://www.e-uchina.net/fudosan_kaisha/5144
5145,(株)沖創建設 中部支店,沖縄県沖縄市泡瀬 2-5-11,098-938-7888,09:30〜17:00,土曜日・日曜日・年末年始・ＧＷ・祝日,沖縄県知事免許(3)第4224号,当社ホームページはこちら,駐車場/あり 6台,12,0,0,4,2,0,0,1,https://www.e-uchina.net/fudosan_kaisha/5145
5146,(株)沖創建設 名護支店,沖縄県名護市宇茂佐の森 5-1-5,0980-52-3618,09:30〜17:00,土曜日・日曜日・GW・年末年始・祝日,沖縄県知事免許(3)第4224号,当社ホームページはこちら,駐車場/あり,5,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5146
5147,(有)新地開発,沖縄県那覇市首里汀良町 3-101-3,098-884-3711,月曜〜土曜 09:30〜17:30,第２、第４、第５土曜・日曜・祝祭日・GW・旧盆・年末年始,沖縄県知事免許(8)第2677号,当社ホームページはこちら,駐車場/あり 3台,14,8,0,2,7,5,2,5,https://www.e-uchina.net/fudosan_kaisha/5147
5149,株式会社ピース企画,沖縄県那覇市長田 2-1-16,098-835-1818,09:00〜18:00,日祝祭日,沖縄県知事免許(6)第3069号,当社ホームページはこちら,駐車場/あり 1台,28,5,0,3,3,1,0,6,https://www.e-uchina.net/fudosan_kaisha/5149
5150,(有)大栄住宅,沖縄県那覇市小禄 696,098-857-5566,09:00〜18:00,土日祝祭日,沖縄県知事免許(11)第1101号,当社ホームページはこちら,駐車場/あり,0,0,0,0,0,0,0,0,https://www.e-uchina.net/fudosan_kaisha/5150
